aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.08,8.01,0.94,2.25,0.08,3.28,0.77,0.02,1.47,0.97,0.97,0.166,12.95,1.35,0.005,17.2,3.54,0.05,0.5,0.01,No
0.07,28.36,0.04,3.46,0.008,0.34,0.76,0.4,0.34,0.65,0.65,0.013,1.48,1.15,0.003,20.36,4.91,0.01,0.36,0.02,no
0.05,19.55,0.03,1.26,0.06,0.27,0.06,0.78,0.06,0.54,0.54,0.081,3.7,0.85,0.007,1.1,6.34,0.05,0.08,0.06,No
0.03,28.89,0.03,2.45,0.003,7.12,0.06,0.66,0.03,0.62,0.62,0.024,1.42,1.57,0.01,2.63,5.82,0.02,0.17,0.03,No
3.79,5.45,0.02,2.79,0.008,5.64,0.29,0.67,0.25,0,0,0.169,6.98,1.39,0.001,41.33,3.08,0.06,0.49,0.02,Yes
0.04,15.81,0.03,0.93,0.08,0.4,0.05,1.33,0.35,0.89,0.89,0.165,3.28,0,0.007,0.53,5.15,0.09,0.05,0.08,No
2.01,7.89,0.04,2.47,0.004,6.55,0.06,0.67,0.63,0.48,0.003,0.007,9.35,1.32,0.002,14.91,6.35,0.09,0.17,0.07,Yes
3.47,2.3,0.04,3.03,0.02,3.29,0.73,0.27,0.53,0,0,0.11,14.37,2.08,0.009,24.94,3.29,0.04,0.17,0,No
0.03,18.59,0.09,2.12,0.03,0.24,0.02,0.02,0.94,0,0.92,0.011,0.42,0.96,0.004,1.24,0.48,0,0.02,0.07,no
2.16,14.73,0.01,2.63,0.009,1.02,0.29,0.76,0.47,0,0,0.175,12.61,1.12,0.005,26.8,4.45,0.07,0.19,0.07,Yes
3.18,6.35,0.82,3.5,0.04,3.35,0.55,0.23,0.91,0.75,0.75,0.191,2.01,1.34,0.005,55.78,0.05,0.09,0.25,0.02,No
0.03,10.88,0.08,0.91,0.02,0.31,0.02,0.22,0.79,0.59,0.59,0.119,14.08,1.38,0.001,0,3.96,0.08,0.05,0.05,No
0.77,11.32,0.9,3.09,0.07,6.13,0.6,1,0,0.51,0.51,0.169,5.76,1.66,0.001,16.14,1.05,0.1,0.24,0.02,No
0.09,18.67,0.09,0.84,0.05,0.49,0.04,1.18,1,0,0.92,0.086,9.49,0.79,0.007,1.55,0.87,0.03,0.04,0.08,No
0.01,0.41,0.08,1.56,0.09,0.08,0.02,1.08,1.18,0,0,0.105,4.01,1.3,0.006,7.23,0.55,0.08,0.01,0.06,No
0.03,1.56,0.08,2.86,0.02,4.37,0.37,1.39,1.19,0.39,0.001,0.194,1.57,1.54,0.009,4.8,7.6,0.08,0.48,0.02,No
0.03,25.32,0.05,0.13,0.02,0.12,0,0.42,1.13,0.05,0.004,0.053,13.11,1.55,0.006,7.35,0.77,0.08,0.09,0.04,No
0.07,3.63,0.07,0.41,0.02,0.4,0.09,1.4,0.07,0,0,0.145,15.74,1.2,0.003,7.77,0.12,0.08,0.01,0.06,No
1.254286579,24.69011324,0.19385301,,0.111928344,8.391745757,0.158924016,0.698115194,0.367494607,0.266189176,0.297033887,0.192021241,4.146607214,0.478097207,0.005579383,38.0892453,5.64632781,0.02849822,0.348588358,0.030505897,No
1.68,28.4,0.02,2,0.009,3.03,0.1,0.83,0.59,0,0,0.025,0.86,1.56,0.001,41.5,7.88,0.03,0.28,0.08,no
0.01,3.72,0.21,1.84,0.12,6.12,0.89,0.05,1.43,0.72,0.72,0.037,5.31,1.52,0.003,44.17,2.69,0.09,0.49,0,No
0.25,22.68,0.01,0.73,0.009,1.36,0.67,1.26,0.59,0.75,0.75,0.011,3.76,1.28,0.01,17.71,1.03,0.02,0.02,0.06,no
4.95,2.83,0.01,0.2,0.001,4.07,0.56,0.75,1.26,0.87,0.87,0.097,0.43,1.29,0.006,26.15,1.01,0.07,0.16,0.08,Yes
0.09,8.68,0.09,0.34,0.05,0.41,0.06,0.04,1.4,0,0.56,0.013,3.36,0.08,0.009,7.99,1.36,0.05,0.09,0.03,No
4.44,4.94,0.56,3.71,0.07,4.77,0.19,0.67,0.75,0.08,0.001,0.034,5.12,1.64,0.008,39.08,1.84,0.07,0.14,0.07,No
4.229593761,22.8759818,0.23089967,,0.038028543,5.068715809,0.34166214,0.224124886,1.217597599,0.807636774,0.217206128,0.110430264,9.108905535,0.707224745,0.003194815,50.56576253,4.16012019,0.096252525,0.336230458,0.001402732,Yes
0.02,11.01,0.37,2.42,0.06,6.45,0.45,0.22,0.79,0.59,0.59,0.119,14.91,1.49,0.001,38.6,6.14,0.08,0.4,0.05,No
0.72,9.47,0.01,3.49,0.001,3.23,0.07,0.86,1.29,0.39,0.005,0.016,11.34,1.39,0.008,30.21,6.62,0.01,0.43,0.04,Yes
